,carriers,country_code
11,"[{'name': 'CL: Entel', 'in_use': True, 'carrier_id': '7300000', 'value': [{'in_use': True, 'hni_id': '73001'}, {'in_use': True, 'hni_id': '73010'}]}, {'name': 'CL: WOM', 'in_use': True, 'carrier_id': '7300001', 'value': [{'in_use': True, 'hni_id': '73009'}, {'in_use': True, 'hni_id': '73004'}]}, {'name': 'CL: Movistar', 'in_use': True, 'carrier_id': '7300002', 'value': [{'in_use': True, 'hni_id': '73002'}, {'in_use': True, 'hni_id': '73007'}]}, {'name': 'CL: CLARO CL', 'in_use': True, 'carrier_id': '7300003', 'value': [{'in_use': True, 'hni_id': '73003'}]}]",CL
12,"[{'name': 'CO: Claro', 'in_use': True, 'carrier_id': '7320000', 'value': [{'in_use': True, 'hni_id': '732101'}]}, {'name': 'CO: Movistar', 'in_use': True, 'carrier_id': '7320001', 'value': [{'in_use': True, 'hni_id': '732123'}, {'in_use': True, 'hni_id': '732001'}]}, {'name': 'CO: Tigo', 'in_use': True, 'carrier_id': '7320002', 'value': [{'in_use': True, 'hni_id': '732103'}, {'in_use': True, 'hni_id': '732111'}, {'in_use': True, 'hni_id': '732020'}]}, {'name': 'CO: Avantel', 'in_use': False, 'carrier_id': '7320003', 'value': [{'in_use': False, 'hni_id': '732130'}]}]",CO
13,"[{'name': 'CZ: T-Mobile', 'in_use': True, 'carrier_id': '2300000', 'value': [{'in_use': False, 'hni_id': '23301'}, {'in_use': True, 'hni_id': '23001'}]}, {'name': 'CZ: Vodafone', 'in_use': True, 'carrier_id': '2300001', 'value': [{'in_use': False, 'hni_id': '23303'}, {'in_use': True, 'hni_id': '23003'}]}, {'name': 'CZ: O2', 'in_use': True, 'carrier_id': '2300002', 'value': [{'in_use': False, 'hni_id': '23302'}, {'in_use': True, 'hni_id': '23002'}]}]",CZ
14,"[{'name': 'DE: O2', 'in_use': True, 'carrier_id': '2620000', 'value': [{'in_use': True, 'hni_id': '26203'}, {'in_use': True, 'hni_id': '26205'}, {'in_use': True, 'hni_id': '26207'}, {'in_use': True, 'hni_id': '26208'}, {'in_use': True, 'hni_id': '26211'}, {'in_use': True, 'hni_id': '26217'}, {'in_use': True, 'hni_id': '26277'}]}, {'name': 'DE: Telekom', 'in_use': True, 'carrier_id': '2620001', 'value': [{'in_use': True, 'hni_id': '26201'}, {'in_use': True, 'hni_id': '26206'}, {'in_use': True, 'hni_id': '26278'}]}, {'name': 'DE: Vodafone', 'in_use': True, 'carrier_id': '2620002', 'value': [{'in_use': True, 'hni_id': '26202'}, {'in_use': True, 'hni_id': '26204'}, {'in_use': True, 'hni_id': '26209'}]}]",DE
15,"[{'name': 'DK:TDC', 'in_use': True, 'carrier_id': '2380000', 'value': [{'in_use': True, 'hni_id': '23801'}]}, {'name': 'DK:Telenor', 'in_use': True, 'carrier_id': '2380001', 'value': [{'in_use': True, 'hni_id': '23802'}, {'in_use': True, 'hni_id': '23877'}]}, {'name': 'DK:3', 'in_use': True, 'carrier_id': '2380002', 'value': [{'in_use': True, 'hni_id': '23806'}]}, {'name': 'DK:Telia', 'in_use': True, 'carrier_id': '2380003', 'value': [{'in_use': True, 'hni_id': '23820'}, {'in_use': True, 'hni_id': '23896'}]}]",DK
16,"[{'name': 'EC: Claro/Porta', 'in_use': True, 'carrier_id': '7400000', 'value': [{'in_use': True, 'hni_id': '74001'}]}, {'name': 'EC: CNT Mobile', 'in_use': True, 'carrier_id': '7400001', 'value': [{'in_use': True, 'hni_id': '74002'}]}, {'name': 'EC: MOVISTAR/OteCel', 'in_use': True, 'carrier_id': '7400002', 'value': [{'in_use': True, 'hni_id': '74000'}]}]",EC
17,"[{'name': 'EG: Orange', 'in_use': True, 'carrier_id': '6020000', 'value': [{'in_use': True, 'hni_id': '60201'}]}, {'name': 'EG: Vodafone', 'in_use': True, 'carrier_id': '6020001', 'value': [{'in_use': True, 'hni_id': '60202'}]}, {'name': 'EG: Etisalat', 'in_use': True, 'carrier_id': '6020002', 'value': [{'in_use': True, 'hni_id': '60203'}]}]",EG
18,"[{'name': 'ES: Movistar', 'in_use': True, 'carrier_id': '2140000', 'value': [{'in_use': True, 'hni_id': '21405'}, {'in_use': True, 'hni_id': '21407'}]}, {'name': 'ES: Orange', 'in_use': True, 'carrier_id': '2140001', 'value': [{'in_use': True, 'hni_id': '21403'}, {'in_use': True, 'hni_id': '21409'}]}, {'name': 'ES: Vodafone', 'in_use': True, 'carrier_id': '2140002', 'value': [{'in_use': True, 'hni_id': '21401'}, {'in_use': True, 'hni_id': '21406'}]}, {'name': 'ES: Yoigo', 'in_use': True, 'carrier_id': '2140003', 'value': [{'in_use': True, 'hni_id': '21404'}]}]",ES
19,"[{'name': 'FI:Elisa', 'in_use': True, 'carrier_id': '2440000', 'value': [{'in_use': True, 'hni_id': '24405'}, {'in_use': True, 'hni_id': '24421'}]}, {'name': 'FI:DNA', 'in_use': True, 'carrier_id': '2440001', 'value': [{'in_use': True, 'hni_id': '24412'}, {'in_use': True, 'hni_id': '24403'}, {'in_use': True, 'hni_id': '24404'}]}, {'name': 'FI:Telia', 'in_use': True, 'carrier_id': '2440002', 'value': [{'in_use': True, 'hni_id': '24491'}]}]",FI
20,"[{'name': 'FR: Bouygues', 'in_use': True, 'carrier_id': '2080000', 'value': [{'in_use': True, 'hni_id': '20820'}, {'in_use': True, 'hni_id': '20888'}, {'in_use': True, 'hni_id': '20821'}]}, {'name': 'FR: Free Mobile', 'in_use': True, 'carrier_id': '2080001', 'value': [{'in_use': True, 'hni_id': '20815'}, {'in_use': True, 'hni_id': '20816'}]}, {'name': 'FR: Orange', 'in_use': True, 'carrier_id': '2080002', 'value': [{'in_use': True, 'hni_id': '20801'}, {'in_use': True, 'hni_id': '20802'}, {'in_use': True, 'hni_id': '20832'}]}, {'name': 'FR: SFR', 'in_use': True, 'carrier_id': '2080003', 'value': [{'in_use': True, 'hni_id': '20808'}, {'in_use': True, 'hni_id': '20809'}, {'in_use': True, 'hni_id': '20810'}, {'in_use': True, 'hni_id': '20811'}, {'in_use': True, 'hni_id': '20813'}]}]",FR
