,id,sub_targeting_type,name,children_ids,level,supported_special_industries,hashtag_type
463,20105,GENERAL_INTEREST,Online Shopping,"['20105101', '20105103']",2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
464,25998018011,GENERAL_INTEREST,Snow Sports,[],4,[],
465,10100,GENERAL_INTEREST,Early Childhood & Preschool Education,[],2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
466,26101,GENERAL_INTEREST,Photography,[],2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
467,25999002007,GENERAL_INTEREST,Open World,[],4,[],
468,25998008,GENERAL_INTEREST,Female Oriented,[],3,[],
469,20107102,GENERAL_INTEREST,Job Hunting,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
470,25999012004,GENERAL_INTEREST,Luck Battle,[],4,[],
471,25999015,GENERAL_INTEREST,Other,['25999015001'],3,[],
472,29101,GENERAL_INTEREST,Health & Wellness,[],2,[],
473,25999006001,GENERAL_INTEREST,Arcade Racing,[],4,[],
474,26113,GENERAL_INTEREST,Exercise & Fitness,[],2,[],
475,25100104100,GENERAL_INTEREST,Basketball,[],4,[],
476,25999013002,GENERAL_INTEREST,Card Games,[],4,[],
477,16104102,GENERAL_INTEREST,Air Purifiers,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
478,25998018006,GENERAL_INTEREST,Darts,[],4,[],
479,16101115,GENERAL_INTEREST,Egg Cookers,[],3,[],
480,25999011006,GENERAL_INTEREST,Legion,[],4,[],
481,12108,GENERAL_INTEREST,Baby Feeding Supplies,[],2,[],
482,23107,GENERAL_INTEREST,Environmental Protection,[],2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
483,25999003012,GENERAL_INTEREST,Poker or Card,[],4,[],
484,14103100102,GENERAL_INTEREST,Scrubs & Body Exfoliation,[],4,[],
485,16101100,GENERAL_INTEREST,Freezers & Ice Makers,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
486,25100104104,GENERAL_INTEREST,Baseball,[],4,[],
487,24103,GENERAL_INTEREST,Construction Engineering,[],2,[],
488,23106,GENERAL_INTEREST,Law,[],2,[],
489,25100101100,GENERAL_INTEREST,Business Simulation Games,[],4,[],
490,25999001008,GENERAL_INTEREST,Racing,[],4,[],
491,16105100101,GENERAL_INTEREST,Action Camera,[],4,[],
492,22102108,GENERAL_INTEREST,"Wallets, Coin Purses & Business Card Holders",[],3,[],
493,23124,GENERAL_INTEREST,Food & Cooking,[],2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
494,18108,GENERAL_INTEREST,Laundry,[],2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
495,24112,GENERAL_INTEREST,Marketing & Advertising,[],2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
496,25100116,GENERAL_INTEREST,Combat Games,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
497,23102,GENERAL_INTEREST,Business & Economy,[],2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
498,25999013007,GENERAL_INTEREST,Hanafuda,[],4,[],
499,16100110,GENERAL_INTEREST,Massagers,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
500,27100103,GENERAL_INTEREST,Fast Food,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
501,11112,GENERAL_INTEREST,Car Dealerships,[],2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
502,26107,GENERAL_INTEREST,Used Good Sales Platforms,[],2,[],
503,25998014,GENERAL_INTEREST,Palace,[],3,[],
504,22109103,GENERAL_INTEREST,Casual Shoes,[],3,[],
505,27102104,GENERAL_INTEREST,Juice,[],3,[],
506,27102100,GENERAL_INTEREST,Instant Drinks,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
507,25999005015,GENERAL_INTEREST,Spot the Difference,[],4,[],
508,23116100,GENERAL_INTEREST,Music & Instruments,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
509,20107103,GENERAL_INTEREST,Entertainment,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
510,22109100,GENERAL_INTEREST,Sneakers,[],3,[],
511,22102103,GENERAL_INTEREST,Backpacks,[],3,[],
512,23116,GENERAL_INTEREST,Culture & Art,"['10106102', '23116100', '23116101', '23116107', '23116999']",2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
513,23116107,GENERAL_INTEREST,Music,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
514,25999006,GENERAL_INTEREST,Racing,"['25999006001', '25999006002', '25999006003']",3,[],
515,21102,GENERAL_INTEREST,Construction Materials & Lighting,[],2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
516,12,GENERAL_INTEREST,"Baby, Kids & Maternity","['12101', '12102', '12103', '12104', '12105', '12106', '12107', '12108', '12109']",1,[],
517,25998016,GENERAL_INTEREST,Sniper,[],3,[],
518,22110111,GENERAL_INTEREST,Bras,[],3,[],
519,11105,GENERAL_INTEREST,Used Cars,[],2,[],
520,11103,GENERAL_INTEREST,Auto Parts,[],2,[],
521,16101113,GENERAL_INTEREST,Slow Cookers,[],3,[],
522,22112109,GENERAL_INTEREST,Cosplay,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
523,18102,GENERAL_INTEREST,Glasses & Drinkware,[],2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
524,25100103101,GENERAL_INTEREST,Third-person Shooter Games,[],4,[],
525,24107,GENERAL_INTEREST,Franchising,[],2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
526,25100104999,GENERAL_INTEREST,Other Sports Games,[],4,[],
527,25998018009,GENERAL_INTEREST,Fishing,[],4,[],
528,14102102,GENERAL_INTEREST,Styling Products,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
529,17105107,GENERAL_INTEREST,Scenic Viewpoints,[],3,[],
530,25999003013,GENERAL_INTEREST,Slots,[],4,[],
531,14101103,GENERAL_INTEREST,Shampoo-Conditioning Sets,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
532,11100101,GENERAL_INTEREST,SUVs,[],3,[],
533,22108105,GENERAL_INTEREST,Pants & Jeans,[],3,[],
534,25998018010,GENERAL_INTEREST,Skateboarding,[],4,[],
535,22101101,GENERAL_INTEREST,Scarves,[],3,[],
536,22102106,GENERAL_INTEREST,Makeup Bags,[],3,[],
537,12106,GENERAL_INTEREST,Toys for Kids,[],2,[],
538,28,GENERAL_INTEREST,Sports & Outdoors,"['28100', '28101']",1,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
539,25998013,GENERAL_INTEREST,Gang or Crime,[],3,[],
540,25998005,GENERAL_INTEREST,Cover Fire,[],3,[],
541,25100112,GENERAL_INTEREST,Educational Games,[],3,[],
542,22110113,GENERAL_INTEREST,Socks,[],3,[],
543,24104,GENERAL_INTEREST,Electronics & Electrical,[],2,[],
544,14103101104,GENERAL_INTEREST,Facial Cleansers & Make-up Remover,[],4,[],
545,27104,GENERAL_INTEREST,Cooking & Recipes,[],2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
546,27100114,GENERAL_INTEREST,Chinese Cuisine,[],3,[],
547,11104,GENERAL_INTEREST,Car Rentals,[],2,[],
548,17106100,GENERAL_INTEREST,Vacation Packages,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
549,14104101,GENERAL_INTEREST,Eyebrow Makeup,[],3,[],
550,25999012002,GENERAL_INTEREST,Karaoke,[],4,[],
551,15100100,GENERAL_INTEREST,Cell Phone Accessories,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
552,10104108,GENERAL_INTEREST,Beauty Education,[],3,[],
553,28100,GENERAL_INTEREST,Outdoor Equipment,[],2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
554,25999007005,GENERAL_INTEREST,MMORPG,[],4,[],
555,25999009018,GENERAL_INTEREST,Time Management,[],4,[],
556,11107,GENERAL_INTEREST,Bicycles,[],2,[],
557,25999010,GENERAL_INTEREST,Sports,"['25999010001', '25999010002', '25999010003', '25999010004']",3,[],
558,25998015,GENERAL_INTEREST,Sci-Fi,[],3,[],
559,25999005003,GENERAL_INTEREST,Brick Breaker,[],4,[],
560,25999003008,GENERAL_INTEREST,Mahjong,[],4,[],
561,25998021002,GENERAL_INTEREST,Western American,[],4,[],
562,20111100,GENERAL_INTEREST,Parenting,[],3,[],
563,11101100,GENERAL_INTEREST,Auto Decor,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
564,23119114,GENERAL_INTEREST,Musical,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
565,11101101,GENERAL_INTEREST,Car Interior Accessories,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
566,16104113,GENERAL_INTEREST,Electric Fans,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
567,27101100,GENERAL_INTEREST,Seafood,[],3,[],
568,23117101,GENERAL_INTEREST,Singing & Music Competitions,[],3,[],
569,25998018004,GENERAL_INTEREST,Basketball,[],4,[],
570,26104101,GENERAL_INTEREST,Flower Delivery,[],3,[],
571,26100,GENERAL_INTEREST,Wedding Photography,['26100101'],2,[],
572,25999009014,GENERAL_INTEREST,Life Simulator,[],4,[],
573,26111,GENERAL_INTEREST,Internet Services,[],2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
574,14106100,GENERAL_INTEREST,Men's Fragrances & Perfumes,[],3,[],
575,23118,GENERAL_INTEREST,Reading,"['23118100', '23118103', '23118106']",2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
576,14101100,GENERAL_INTEREST,Shampoos,[],3,[],
577,25998018017,GENERAL_INTEREST,Tennis,[],4,[],
578,14103101106,GENERAL_INTEREST,Facial Care Sets,[],4,[],
579,25999007012,GENERAL_INTEREST,Team Battle,[],4,[],
580,14104100,GENERAL_INTEREST,Face Makeup,"['14104100100', '14104100101', '14104100102', '14104100103']",3,[],
581,12109,GENERAL_INTEREST,Children's Apparel,[],2,[],
582,15101103,GENERAL_INTEREST,Desktops,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
583,15105,GENERAL_INTEREST,Computer Accessories,[],2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
584,15101102,GENERAL_INTEREST,Tablets,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
585,25999001004,GENERAL_INTEREST,Escape,[],4,[],
586,25998019001,GENERAL_INTEREST,Modern Military,[],4,[],
587,22105,GENERAL_INTEREST,Watches,[],2,[],
588,23114,GENERAL_INTEREST,Astrology,[],2,[],
589,22109101,GENERAL_INTEREST,Boots,[],3,[],
