id,name,type,path,description,real_time_cluster,audience_size_lower_bound,audience_size_upper_bound
6002714398372,Parents (All),family_statuses,['Parents (All)'],People who are likely to be parents,False,248357808,292068783
6023005372383,Parents (up to 12 months),family_statuses,['Parents (up to 12 months)'],People who are likely to be parents with children aged up to 12 months.,False,4371114,5140431
6023005458383,Parents with toddlers (01-02 years),family_statuses,['Parents with toddlers (01-02 years)'],People who are likely to be parents with toddlers,False,2791870,3283240
6023005529383,Parents with preschoolers (03-05 years),family_statuses,['Parents with preschoolers (03-05 years)'],People who are likely to be parents with preschoolers,False,4548094,5348559
6023005570783,Parents with early school-age children (06-08 years),family_statuses,['Parents with early school-age children (06-08 years)'],People who are likely to be parents with early school-age children,False,7223893,8495299
6023005681983,Parents with teenagers (13-17 years),family_statuses,['Parents with teenagers (13-17 years)'],People who are likely to be parents with teenagers,False,20892870,24570016
6023080302983,Parents with preteens (09-12 years),family_statuses,['Parents with preteens (09-12 years)'],People who are likely to be parents with preteens,False,9272630,10904613
