,key,name,type,country_code,country_name,supports_region,supports_city,kml
0,2669,Zeeland,region,NL,Netherlands,True,True,Polygons not found.
1,2661,Friesland,region,NL,Netherlands,True,True,Polygons not found.
2,2668,Utrecht,region,NL,Netherlands,True,True,Polygons not found.
3,2675,Flevoland,region,NL,Netherlands,True,True,Polygons not found.
4,2664,Limburg,region,NL,Netherlands,True,True,Polygons not found.
5,2663,Groningen,region,NL,Netherlands,True,True,Polygons not found.
6,2660,Drenthe,region,NL,Netherlands,True,True,Polygons not found.
7,2670,Zuid-Holland,region,NL,Netherlands,True,True,Polygons not found.
8,2662,Gelderland,region,NL,Netherlands,True,True,Polygons not found.
9,2674,Overijssel,region,NL,Netherlands,True,True,Polygons not found.
