,key,name,type,country_code,country_name,supports_region,supports_city,kml
0,5071,Lagunes District,region,CI,Côte d&#039;Ivoire,True,True,Polygons not found.
1,4509,Moyen-Comoé,region,CI,Côte d&#039;Ivoire,True,True,Polygons not found.
2,4506,Haut-Sassandra,region,CI,Côte d&#039;Ivoire,True,True,Polygons not found.
3,4512,Sud-Comoé,region,CI,Côte d&#039;Ivoire,True,True,Polygons not found.
4,4505,Fromager,region,CI,Côte d&#039;Ivoire,True,True,Polygons not found.
5,5065,Gôh-Djiboua District,region,CI,Côte d&#039;Ivoire,True,True,Polygons not found.
6,4502,Agnéby,region,CI,Côte d&#039;Ivoire,True,True,Polygons not found.
7,4511,Sud-Bandama,region,CI,Côte d&#039;Ivoire,True,True,Polygons not found.
8,5064,Montagnes District,region,CI,Côte d&#039;Ivoire,True,True,Polygons not found.
9,4513,Worodougou,region,CI,Côte d&#039;Ivoire,True,True,Polygons not found.
10,4499,Dix-Huit Montagnes,region,CI,Côte d&#039;Ivoire,True,True,Polygons not found.
11,4508,Moyen-Cavally,region,CI,Côte d&#039;Ivoire,True,True,Polygons not found.
12,5072,Sassandra-Marahoué District,region,CI,Côte d&#039;Ivoire,True,True,Polygons not found.
13,4507,Marahoué,region,CI,Côte d&#039;Ivoire,True,True,Polygons not found.
14,5062,Comoé District,region,CI,Côte d&#039;Ivoire,True,True,Polygons not found.
15,5070,Woroba District,region,CI,Côte d&#039;Ivoire,True,True,Polygons not found.
16,4496,Yamoussoukro,region,CI,Côte d&#039;Ivoire,True,True,Polygons not found.
17,4504,Bafing,region,CI,Côte d&#039;Ivoire,True,True,Polygons not found.
18,5063,Lacs District,region,CI,Côte d&#039;Ivoire,True,True,Polygons not found.
